"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1110.52743508279,0.249547004962326,0.0342823782640101,7.27916257852804,3.35898687049298e-13,2.1060847677991e-10,"MAP2K2"
2603.97382936433,0.166295535746348,0.0231854663283146,7.17240418594751,7.36919893847417e-13,2.31024386721165e-10,"CSNK1G2"
3732.95654955885,0.149870684809411,0.0223267015147693,6.71262097136338,1.91159205041753e-11,3.99522738537264e-09,"GRK6"
766.965881405499,0.198097654226333,0.0303214643882568,6.53324825245097,6.435833234303e-11,1.008816859477e-08,"IRAK1"
2645.25063480775,0.254738798421849,0.0399404790709006,6.37796051393495,1.79461766212786e-10,2.25045054830834e-08,"MKNK2"
1990.64158682687,0.289093111252661,0.0457413884016258,6.32016476444308,2.61284565089642e-10,2.73042370518676e-08,"TNK2"
424.802999043387,0.164371342727925,0.02635356125248,6.23715865773003,4.45590006382688e-10,3.99121334288493e-08,"CDK16"
1273.85295155176,0.27286007795457,0.0443147601932843,6.1573181658765,7.3987115157465e-10,5.12991985089061e-08,"PRKCD"
3511.35683387103,0.150163513595257,0.0244108673753208,6.1515025781948,7.6752278443994e-10,5.12991985089061e-08,"ITPKB"
301.111567778298,0.13302400267962,0.0216603423366228,6.14136196982934,8.18169035229763e-10,5.12991985089061e-08,"PI4K2A"
4833.38100143457,0.175364623216086,0.0292153314130514,6.002486185652,1.94318799357591e-09,1.10761715633827e-07,"GRK2"
311.455410730546,0.15772409371814,0.0265023393278351,5.9513272306677,2.65976693271264e-09,1.38972822234235e-07,"CSNK1E"
1831.14406120297,0.150506322105531,0.0255704802387565,5.88594037735016,3.95796991416717e-09,1.90895933552524e-07,"PDXK"
1019.03353949242,0.219309465952635,0.0377043983624834,5.81654861176229,6.00750778455992e-09,2.52708663505684e-07,"PKN1"
789.626905524694,0.195003205121497,0.0335316909686224,5.81548974980034,6.04566180635608e-09,2.52708663505684e-07,"MAP4K2"
146.300993300835,0.189810783708424,0.0328988557418804,5.76952539619163,7.94950979732784e-09,3.11521415182785e-07,"TESK1"
3100.50690187186,0.24871693531661,0.0433423636567119,5.73842574176488,9.55606463980766e-09,3.52450148774083e-07,"JAK3"
275.767260367373,0.146137282789197,0.0256681453024784,5.69333238015787,1.24583520165123e-08,4.33965928575178e-07,"UCKL1"
5312.73361029852,0.122624991794598,0.0220548210103572,5.56000847782949,2.6976154607411e-08,8.90213102044564e-07,"TYK2"
2024.797827168,0.227953699393312,0.0415916939591397,5.48075054642537,4.23525281515718e-08,1.30222572356708e-06,"DGKZ"
15.6608910782911,0.141869193453318,0.0259095736174521,5.4755510664891,4.36152156218641e-08,1.30222572356708e-06,"CDK3"
2429.91524606191,0.188441674033872,0.0349451055737531,5.39250550083927,6.94819718121134e-08,1.98023619664523e-06,"CSK"
9.01944928418374,-0.428782020051698,0.081143309328889,-5.2842560107299,1.26216642303076e-07,3.44077542278385e-06,"CSNK2A3"
833.485564575168,0.119205585264011,0.0227248196195554,5.2456119458669,1.55764445910588e-07,4.0693461494141e-06,"STK35"
2703.64947887526,0.250643604522192,0.0481161814216074,5.20913333346183,1.89724741796867e-07,4.75829652426543e-06,"CIITA"
103.026156028868,-0.238799489186547,0.0465058741233692,-5.13482422786136,2.82407838670946e-07,6.81037364794936e-06,"NME1"
1624.68494866574,0.178105078068203,0.0347554473636677,5.1245226742323,2.98292453132836e-07,6.92701363386253e-06,"NUAK2"
232.233633111178,-0.180202982398309,0.0357168835609218,-5.04531651231384,4.52771220062145e-07,1.01388412492488e-05,"NME7"
3114.79641417079,0.146748148657283,0.029398823753523,4.99163333497986,5.98708305112543e-07,1.26930702665151e-05,"MAP3K3"
7230.41006343307,0.158679379925903,0.0318066552484084,4.98887351362867,6.07323936196897e-07,1.26930702665151e-05,"STK10"
1221.78953180791,-0.0845659880398233,0.0170196789313865,-4.96871817504575,6.73969400129602e-07,1.35357519992899e-05,"DCAF1"
1525.54096085511,0.125047878672798,0.0251913220376957,4.96392680327295,6.90819878751639e-07,1.35357519992899e-05,"PIM2"
852.867135249707,0.41180624585886,0.0830681130193394,4.95745275642635,7.14234022653273e-07,1.35704464304122e-05,"CMPK2"
541.40183149758,0.228459043326022,0.0461469953169315,4.95068079204282,7.39543187922613e-07,1.36380464361023e-05,"PRKACA"
1341.79612829585,0.140001610317322,0.0284211235840619,4.92597028767128,8.39427535569192e-07,1.50377447086252e-05,"MAPKAPK2"
5801.65470038972,0.166253584624816,0.0338489059756482,4.91163834791068,9.03185260052457e-07,1.57304766125803e-05,"NADK"
989.666285351464,0.139520693814991,0.0286135721272895,4.87603201705551,1.08241047796434e-06,1.83424694509092e-05,"PNKP"
4220.32691859997,0.152578709172281,0.0316411043971981,4.82216762275189,1.42006530908028e-06,2.34310775998247e-05,"PTK2B"
290.49971869561,0.078021100373972,0.0162301883761018,4.80715926186381,1.53090032802868e-06,2.46121668121534e-05,"ITPKC"
559.796936662754,0.10186399308366,0.0213871172116898,4.76286692009073,1.9086171966349e-06,2.93412346043211e-05,"SEPHS2"
1577.28471159324,0.136552461166415,0.0286945713707401,4.75882561206882,1.9472257472955e-06,2.93412346043211e-05,"BCR"
20462.5391069888,-0.085746333137457,0.0180255023392317,-4.75694554990759,1.96544155244256e-06,2.93412346043211e-05,"STK4"
1398.09982515733,0.173384548007184,0.0368886011815596,4.70022018871939,2.59881123155369e-06,3.78942940042828e-05,"PRKD2"
129.45561102959,-0.14468236054065,0.0309309128457868,-4.67759749807572,2.90255576802095e-06,4.13614196942985e-05,"PSTK"
