"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
3135.91309273638,0.293726177473676,0.0331020377789439,8.87335636057168,7.09737645305005e-19,4.45005503606238e-16,"MAP3K3"
2589.83202258512,0.215494115602038,0.0257111200879033,8.38135852756662,5.23202625052832e-17,1.64024022954063e-14,"CSNK1G2"
2245.26297059243,0.303238871268291,0.0376767335349454,8.04843846102092,8.38570555452933e-16,1.75261246089663e-13,"PFKFB4"
833.847455889286,0.204821805063282,0.0257335833971093,7.95931922509827,1.72988406406241e-15,2.71159327041783e-13,"STK35"
229.804453014974,-0.326498860851185,0.0413448041342145,-7.8969744249192,2.85754976037136e-15,3.58336739950568e-13,"NME7"
101.899618846252,-0.426038798707541,0.0545396101604814,-7.81154829405515,5.64896965413116e-15,5.90317328856706e-13,"NME1"
1262.76108682064,0.102308265070641,0.013320677040887,7.6804102942074,1.58579861077807e-14,1.42042246993979e-12,"PIP5K1A"
785.03344746424,-0.270098434814474,0.0354322443420452,-7.62295586492006,2.47931669970505e-14,1.81427888403065e-12,"FER"
398.637427331165,-0.43590277677017,0.0572305427272207,-7.6166109213366,2.60422806320189e-14,1.81427888403065e-12,"PDIK1L"
510.578139635416,-0.222744487499542,0.0299373135510262,-7.44036324835522,1.00408812741202e-13,6.29563255887336e-12,"RIOK1"
2223.37817155208,-0.250160627941506,0.0337360190989776,-7.41523850835997,1.21406120633631e-13,6.63664583994062e-12,"TLK1"
741.051390007559,-0.254121715939681,0.0343115241109836,-7.4063080123664,1.29864018911775e-13,6.63664583994062e-12,"PRPS1"
2364.59306758924,-0.350783812543847,0.04747267216663,-7.38917352940633,1.47744248760035e-13,6.63664583994062e-12,"CMPK1"
4827.82437207185,0.181663430095836,0.0245864040812794,7.38877590619924,1.48186669472358e-13,6.63664583994062e-12,"RPS6KA1"
2547.74692661717,0.22196142484193,0.03043710485618,7.29246181234161,3.04341848696904e-13,1.27214892755306e-11,"MKNK1"
2788.89812518407,0.210958663551688,0.0296142790676719,7.12354547175113,1.05185527057409e-12,4.1219578415622e-11,"CAMKK2"
539.391068297642,-0.368677843572004,0.0525738964081671,-7.01256457595811,2.33988801017271e-12,8.63005754340169e-11,"RIOK2"
3343.02954537564,-0.413425040546983,0.0592529244649174,-6.97729342948743,3.00920794591384e-12,1.04820743449332e-10,"PRKACB"
2081.44364122876,-0.301086638478739,0.0438009341756262,-6.87397755653997,6.24360353512627e-12,2.06038916659167e-10,"DCK"
4019.92270828432,-0.359909705068318,0.0527988982785778,-6.81661392192998,9.32113170817115e-12,2.92217479051166e-10,"ETNK1"
3087.95303423935,0.332797915095542,0.0490845074809764,6.7801009356063,1.20091951244059e-11,3.58560254428691e-10,"JAK3"
697.985442867367,-0.246208803549886,0.0364116493620028,-6.76181408598359,1.36274505315939e-11,3.88382340150425e-10,"MAPK6"
3702.61849742617,0.167488952343625,0.0250236567943096,6.69322448434924,2.18305851580564e-11,5.76202332330532e-10,"GRK6"
1140.69713838782,-0.201442314369823,0.0301031993375916,-6.6917244280501,2.20555916681543e-11,5.76202332330532e-10,"EIF2AK3"
145.175755314135,0.239649129289453,0.0363856155356309,6.58637007404135,4.50709599262631e-11,1.13037967495068e-09,"TESK1"
3874.97721366172,-0.218893847237625,0.0334809302117704,-6.53786635715013,6.24026458249387e-11,1.50486380508602e-09,"PIK3C3"
10404.8915831468,0.203288807820638,0.0313327163427268,6.48806843291221,8.69437908434929e-11,2.01902803181e-09,"LYN"
26974.4920369519,-0.22735179498152,0.0351431412897922,-6.469307712329,9.8452925827997e-11,2.14093823508141e-09,"ATM"
2647.43154639634,-0.261913814357838,0.0404910596705839,-6.46843566181386,9.90226615906873e-11,2.14093823508141e-09,"STK38L"
298.940718698023,0.156725127174275,0.0243357074543158,6.44013030927855,1.19370971037037e-10,2.49485329467407e-09,"PI4K2A"
797.988385225759,-0.400675408302716,0.0626536281760694,-6.39508708381161,1.60455881832844e-10,3.24534960997397e-09,"VRK1"
1908.40698201689,-0.225187287020282,0.0353629075193084,-6.36789514259618,1.91639852156731e-10,3.75494335319595e-09,"PRKX"
289.277998530752,0.115306106138461,0.0181639598314715,6.34807097176451,2.1803150067661e-10,4.14259851285558e-09,"ITPKC"
906.077637860116,-0.243507816399563,0.0384011994187319,-6.34115132041373,2.2805440479018e-10,4.20559152363067e-09,"ADK"
506.183035386309,-0.231331821276291,0.0365110453961424,-6.33594077535597,2.35897395815869e-10,4.22561590093533e-09,"NADK2"
1676.83001192971,0.183012930709171,0.0289046523117357,6.33160810015572,2.42619094790545e-10,4.22561590093533e-09,"PDPK1"
759.121799105557,-0.22397119871634,0.0355612346099746,-6.29818399650046,3.01152914521219e-10,5.10332101094065e-09,"NEK1"
1337.1117507074,0.197229338795582,0.0315678645446465,6.2477884279008,4.16305053300557e-10,6.73866518908735e-09,"MAPKAPK2"
2110.03465279404,-0.235166217090354,0.0376463289414033,-6.2467237497816,4.19151423244668e-10,6.73866518908735e-09,"STK26"
255.899775672963,-0.198952395308067,0.0318932155523919,-6.23807890995635,4.42977201562255e-10,6.94366763448835e-09,"PRPS2"
1111.42247468682,-0.17353915399219,0.0278565955440693,-6.22973305254225,4.67230624764214e-10,7.14520979822346e-09,"SGK3"
1152.54211505406,-0.337763568589871,0.0544082359604338,-6.20794926774498,5.36804729702355e-10,8.01372775055659e-09,"CSNK1G3"
5625.1388601971,-0.236786914475035,0.0382560763251104,-6.18952431145204,6.0346045590395e-10,8.61674891332667e-09,"DYRK2"
